"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"205","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.5%"
"206","Leroy Watson IV (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","1.0%"
"207","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","1.9%"
"208","Cameron Latu (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Nick Muse (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"210","Teagan Quitoriano (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"211","Nikola Kalinic (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Seth Green (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Ko Kieft (TB)","0","0","0","0","0","0","0","0","0","0","0","17","0.0","0.0","0.0%"
"214","Moliki Matavao (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"215","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Jordan Matthews (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"218","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Anthony Firkser (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"228","Robert Tonyan (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Albert Okwuegbunam Jr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Andrew Beck (NYJ)","0","2","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"232","Irv Smith Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"233","Tyree Jackson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Darren Waller (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.0%"
"235","C.J. Uzomah (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"236","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","2.5%"
"237","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"238","Patrick Scales (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"239","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
""
""
