"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jauan Jennings","SF","WR40","2.4","10.8","0.1","67.4","887.7","5.2","0.6","187.7"
"Rome Odunze","CHI","WR41","1.3","8.0","0.0","65.9","885.9","5.4","0.9","185.7"
"Cooper Kupp","SEA","WR42","1.3","9.0","0.0","72.5","805.4","5.3","0.6","184.9"
"Sam LaPorta","DET","TE5","0.0","0.0","0.0","68.3","765.9","6.8","0.4","184.8"
"Khalil Shakir","BUF","WR43","0.3","3.0","0.0","71.9","814.0","4.9","0.6","181.9"
"Chris Godwin Jr.","TB","WR44","1.2","7.9","0.0","68.4","790.9","5.4","0.6","179.5"
"T.J. Hockenson","MIN","TE6","0.0","0.0","0.0","74.1","775.7","4.7","0.5","178.7"
"David Njoku","CLE","TE7","0.0","0.0","0.0","76.8","738.6","4.9","0.8","178.6"
"Isiah Pacheco","KC","RB25","203.0","835.8","5.7","33.3","228.1","1.1","1.0","178.3"
"RJ Harvey","DEN","RB26","182.5","791.8","5.4","33.6","257.2","1.6","1.3","178.1"
"Ricky Pearsall","SF","WR45","7.0","53.4","0.3","59.9","808.2","5.1","0.6","177.7"
"Jaylen Warren","PIT","RB27","149.6","682.5","3.6","47.5","347.2","1.1","1.1","176.5"
"Jordan Addison","MIN","WR46","0.9","8.9","0.2","60.6","785.5","6.0","0.4","176.4"
"Tyrone Tracy Jr.","NYG","RB28","189.4","807.1","5.0","35.5","260.9","1.1","1.6","175.3"
"Rashid Shaheed","NO","WR47","7.7","47.2","0.1","57.6","858.4","4.8","1.3","175.2"
"Mark Andrews","BAL","TE8","0.0","2.0","0.0","58.8","701.8","7.7","0.8","173.5"
"Jayden Reed","GB","WR48","11.8","93.5","0.7","55.3","741.2","5.3","0.9","173.3"
"Josh Downs","IND","WR49","0.3","5.8","0.0","69.2","770.1","4.5","0.5","172.9"
"Emeka Egbuka","TB","WR50","1.6","11.5","0.0","61.6","780.8","5.5","1.1","171.9"
